Model,Accuracy,Precision,Recall,F1-Score,Best Params
Logistic Regression,0.7777777777777778,0.8125,0.9285714285714286,0.8666666666666667,
KNN (distance-weighted tuned),0.7777777777777778,0.7941176470588235,0.9642857142857143,0.8709677419354839,"{""model__n_neighbors"": 7, ""model__p"": 1, ""model__weights"": ""distance""}"
Decision Tree,0.7222222222222222,0.8,0.8571428571428571,0.8275862068965517,
Random Forest,0.7777777777777778,0.8125,0.9285714285714286,0.8666666666666667,
